/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine — Batch Optimizer
  Batches      : 10
  Trials/batch : 1000  (total: 10000)
  Startup/batch: 80
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Top components: nuclear_convergence=6.128  pu_gate=5.600  au_priority=4.000  serial_horizon=4.000  pop_ratio=2.000  colonial_extraction=1.740  civ_gap=0.898  lattice_latitude=0.740

Batch   Trial     Total      Mean      Std     GBest
    1     300   21.9689   21.0975   2.9046   21.5012
    1     301   22.4097   21.6077   2.6731   21.5012
    1     302   21.7029   20.7964   3.0216   21.5012
    1     303   23.5889   22.7575   2.7714   21.5012
    1     304   22.0726   21.2407   2.7730   21.5012
    1     305   21.9246   21.0528   2.9059   21.5012
    1     306   26.1858   25.2806   3.0172   21.5012
    1     307   22.7925   21.8224   3.2336   21.5012
    1     308   21.7175   20.8184   2.9971   21.5012
    1     309   22.0464   21.1939   2.8416   21.5012
    1     310   23.2627   22.3761   2.9552   21.5012
    1     311   21.8362   20.9442   2.9733   21.5012
    1     312   22.0247   21.1670   2.8588   21.5012
    1     313   21.6759   20.7653   3.0352   21.5012
    1     314   22.8430   21.8638   3.2638   21.5012
    1     315   22.3864   21.5577   2.7623   21.5012
    1     316   23.0311   22.0740   3.1903   21.5012
    1     317   23.2073   22.3099   2.9911   21.5012
    1     318   23.4280   22.5765   2.8382   21.5012
    1     319   27.5618   26.6144   3.1578   21.5012
    1     320   22.8191   21.8500   3.2304   21.5012
    1     321   21.6172   20.7017   3.0518   21.5012
    1     322   22.8574   21.8829   3.2482   21.5012
    1     323   24.2789   23.5638   2.3835   21.5012
    1     324   22.0531   21.1932   2.8662   21.5012
    1     325   23.9045   23.0938   2.7025   21.5012
    1     326   23.1044   22.1691   3.1178   21.5012
    1     327   21.6406   20.7306   3.0332   21.5012
    1     328   22.7166   21.9534   2.5439   21.5012
    1     329   22.2457   21.4065   2.7972   21.5012
    1     330   22.2781   21.4451   2.7769   21.5012
    1     331   24.6150   24.1261   1.6296   21.5012
    1     332   24.2067   23.5120   2.3159   21.5012
    1     333   27.2067   26.4135   2.6440   21.5012
    1     334   21.5206   20.5886   3.1067   21.5012
    1     335   21.7485   20.8490   2.9981   21.5012
    1     336   21.6743   20.7694   3.0164   21.5012
    1     337   23.3803   22.5301   2.8338   21.5012
    1     338   21.5483   20.6221   3.0873   21.5012
    1     339   23.2764   22.5326   2.4792   21.5012
    1     340   21.8957   21.0191   2.9218   21.5012
    1     341   22.9791   22.0176   3.2051   21.5012
    1     342   28.4290   27.6507   2.5941   21.5012
    1     343   23.3237   22.5838   2.4665   21.5012
    1     344   22.7799   21.9939   2.6199   21.5012
    1     345   22.8160   22.0909   2.4169   21.5012
    1     346   21.9370   21.0711   2.8863   21.5012
    1     347   22.1070   21.2623   2.8155   21.5012
    1     348   21.7658   20.8660   2.9993   21.5012
    1     349   23.0365   22.0864   3.1670   21.5012
    1     350   21.7300   20.8258   3.0137   21.5012
    1     351   21.7338   20.8315   3.0076   21.5012
    1     352   24.2442   23.5232   2.4036   21.5012
    1     353   21.5785   20.6598   3.0625   21.5012
    1     354   26.5601   25.7057   2.8482   21.5012
    1     355   21.9167   21.0421   2.9153   21.5012
    1     356   24.2802   23.5436   2.4553   21.5012
    1     357   23.2780   22.3914   2.9553   21.5012
    1     358   22.2709   21.4336   2.7909   21.5012
    1     359   22.8716   21.9007   3.2362   21.5012
    1     360   22.9616   21.9909   3.2357   21.5012
    1     361   22.1896   21.3469   2.8089   21.5012
    1     362   21.6710   20.7651   3.0199   21.5012
    1     363   22.4601   21.6554   2.6822   21.5012
    1     364   23.0615   22.3115   2.4998   21.5012
    1     365   21.5892   20.6719   3.0577   21.5012
    1     366   23.3674   22.5178   2.8318   21.5012
    1     367   21.5939   20.6745   3.0647   21.5012
    1     368   21.7764   20.8813   2.9837   21.5012
    1     369   21.5862   20.6676   3.0620   21.5012
    1     370   21.7680   20.8692   2.9958   21.5012
    1     371   21.6386   20.7263   3.0409   21.5012
    1     372   22.9727   22.2166   2.5205   21.5012
    1     373   22.2989   21.4709   2.7598   21.5012
    1     374   22.9956   22.0415   3.1805   21.5012
    1     375   21.8022   20.9081   2.9804   21.5012
    1     376   21.7596   20.8548   3.0162   21.5012
    1     377   22.8586   21.8888   3.2326   21.5012
    1     378   23.3251   22.6330   2.3070   21.5012
    1     379   22.3909   21.5660   2.7499   21.5012
    1     380   22.7415   21.9525   2.6299   21.5012
    1     381   23.3432   22.6280   2.3840   21.5012
    1     382   21.5470   20.6214   3.0851   21.5012
    1     383   21.7607   20.8628   2.9930   21.5012
    1     384   23.0327   22.0848   3.1595   21.5012
    1     385   21.7499   20.8598   2.9669   21.5012
    1     386   22.3660   21.5462   2.7328   21.5012
    1     387   21.8430   20.9623   2.9355   21.5012
    1     388   21.8779   20.9918   2.9537   21.5012
    1     389   23.0060   22.0520   3.1799   21.5012
    1     390   21.7773   20.8830   2.9810   21.5012
    1     391   22.0307   21.1677   2.8764   21.5012
    1     392   22.3814   21.5677   2.7124   21.5012
    1     393   22.3407   21.5201   2.7355   21.5012
    1     394   22.1159   21.2679   2.8266   21.5012
    1     395   23.5930   22.7617   2.7709   21.5012
    1     396   22.0340   21.1792   2.8495   21.5012
    1     397   22.8765   21.9073   3.2308   21.5012
    1     398   21.8015   20.9003   3.0042   21.5012
    1     399   21.5260   20.5970   3.0967   21.5012
    1     400   21.7806   20.8851   2.9850   21.5012
    1     401   23.0714   22.3247   2.4893   21.5012
    1     402   21.6060   20.6887   3.0578   21.5012
    1     403   23.0178   22.0659   3.1732   21.5012
    1     404   21.5135   20.5828   3.1023   21.5012
    1     405   24.4221   23.7379   2.2809   21.5012
    1     406   21.7951   20.9032   2.9730   21.5012
    1     407   22.8789   21.9116   3.2245   21.5012
    1     408   21.8459   20.9535   2.9746   21.5012
    1     409   21.9911   21.1234   2.8925   21.5012
    1     410   23.5273   22.6858   2.8051   21.5012
    1     411   22.4047   21.5901   2.7152   21.5012
    1     412   21.6376   20.7278   3.0327   21.5012
    1     413   22.1325   21.2934   2.7973   21.5012
    1     414   26.0365   25.1048   3.1055   21.5012
    1     415   22.7869   21.8128   3.2470   21.5012
