/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine Optimizer (Optuna TPE)
  Trials       : 500
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3
  Results dir  : /Users/terrace/Labs/Aeolia/aeolia-godot/optimization/results

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Components: lattice_density=0.016  reach_spread=0.395  lattice_latitude=0.740  reach_latitude=0.683  lattice_shelf=0.064  civ_gap=0.898  peak_asymmetry=0.000  edge_topology=0.027  climate_crop=0.337  yield_asymmetry=0.001  industrial_convergence=0.000  nav_weapons_coupling=0.000  security_dilemma=0.000  nuclear_emergence=0.000  pu_gate=5.600  supply_chain=0.000  cu_tech_lead=0.000  au_priority=4.000  serial_horizon=4.000  maritime_asymmetry=0.372  colonial_extraction=1.740  nuclear_convergence=6.128  df_timing=0.196  sov_ordering=0.007  sov_recovery=0.000  pop_ratio=2.000  pop_inequality=0.014  epi_correlation=0.081

Trial     Total      Mean      Std      Best
  360   25.9306   25.4222   1.6948   24.2788
  361   25.9998   25.5586   1.4705   24.2788
  362   27.5311   26.9226   2.0281   24.2788
  363   25.2561   24.9356   1.0686   24.2788
  364   26.6313   26.1648   1.5549   24.2788
  365   24.9864   24.6354   1.1699   24.2788
  366   25.0356   24.6872   1.1616   24.2788
  367   24.8418   24.4128   1.4301   24.2788
  368   24.4137   23.8904   1.7443   24.2788
  369   25.0400   24.6879   1.1736   24.2788
  370   26.2998   25.8292   1.5685   24.2788
  371   24.7844   24.3617   1.4089   24.2788
  372   24.9232   24.5586   1.2153   24.2788
  373   24.4989   23.9429   1.8533   24.2788
  374   25.2341   24.9621   0.9065   24.2788
  375   25.0704   24.6698   1.3354   24.2788
  376   26.2315   25.8193   1.3739   24.2788
  377   30.0383   29.4700   1.8946   24.2788
  378   30.0300   29.4658   1.8806   24.2788
  379   29.1984   28.7444   1.5133   24.2788
  380   26.2299   25.7581   1.5727   24.2788
  381   29.1880   28.6797   1.6943   24.2788
  382   24.3838   23.8336   1.8339   24.2788
  383   26.3606   25.8799   1.6023   24.2788
  384   25.7533   25.2379   1.7178   24.2788
  385   24.9070   24.5218   1.2838   24.2788
  386   27.0939   26.5963   1.6588   24.2788
  387   29.2039   28.7443   1.5318   24.2788
  388   26.1626   25.6920   1.5686   24.2788
  389   24.7949   24.3135   1.6047   24.2788
  390   24.9865   24.5889   1.3252   24.2788
  391   24.6243   24.0831   1.8038   24.2788
  392   27.4298   26.8744   1.8512   24.2788
  393   27.2365   26.8093   1.4240   24.2788
  394   24.6641   24.1537   1.7012   24.2788
  395   25.8721   25.3826   1.6315   24.2788
  396   26.9104   26.5178   1.3089   24.2788
  397   25.0211   24.6934   1.0926   24.2788
  398   25.2704   24.9535   1.0566   24.2788
  399   27.0497   26.5428   1.6898   24.2788
  400   24.5865   24.0814   1.6837   24.2788
  401   24.2729   23.6904   1.9416   24.2729 *
  402   24.9118   24.5281   1.2789   24.2729
  403   26.8117   26.4412   1.2348   24.2729
  404   24.6441   24.1113   1.7760   24.2729
  405   25.2137   24.8689   1.1492   24.2729
  406   25.7653   25.2527   1.7086   24.2729
  407   26.7164   26.3249   1.3050   24.2729
  408   24.6016   24.0877   1.7128   24.2729
  409   24.4740   23.9410   1.7766   24.2729
  410   31.6622   31.1181   1.8135   24.2729
  411   24.5986   24.0922   1.6878   24.2729
  412   24.8692   24.4718   1.3247   24.2729
  413   26.6841   26.2181   1.5534   24.2729
  414   26.7200   26.2513   1.5624   24.2729
  415   25.8707   25.3925   1.5939   24.2729
  416   25.9219   25.4337   1.6273   24.2729
  417   24.9832   24.6306   1.1753   24.2729
  418   29.2614   28.8285   1.4430   24.2729
  419   24.4942   23.9709   1.7444   24.2729
  420   26.8114   26.3091   1.6742   24.2729
  421   25.0680   24.6663   1.3391   24.2729
  422   24.4704   23.9366   1.7794   24.2729
  423   29.4156   29.0511   1.2150   24.2729
  424   24.9567   24.5719   1.2826   24.2729
  425   26.6995   26.3128   1.2892   24.2729
  426   27.4853   26.9142   1.9039   24.2729
  427   25.2156   24.8745   1.1370   24.2729
  428   24.5179   24.0057   1.7074   24.2729
  429   29.3921   29.0064   1.2857   24.2729
  430   27.2501   26.7412   1.6962   24.2729
  431   26.7529   26.2590   1.6462   24.2729
  432   25.6688   25.1172   1.8386   24.2729
  433   24.9193   24.4934   1.4194   24.2729
  434   28.7893   28.2133   1.9203   24.2729
  435   26.6040   26.0513   1.8424   24.2729
  436   25.5385   24.9746   1.8797   24.2729
  437   25.5197   25.2930   0.7555   24.2729
  438   25.5368   24.9747   1.8738   24.2729
  439   24.4192   23.8985   1.7357   24.2729
  440   24.4596   23.9200   1.7989   24.2729
  441   25.9642   25.4612   1.6765   24.2729
  442   25.8387   25.3412   1.6583   24.2729
  443   25.2036   24.9111   0.9749   24.2729
  444   25.7420   25.2204   1.7385   24.2729
  445   30.5079   29.9998   1.6938   24.2729
  446   28.7702   28.1794   1.9693   24.2729
  447   24.3655   23.8247   1.8026   24.2729
  448   26.0238   25.5197   1.6803   24.2729
  449   26.2178   25.7130   1.6828   24.2729
  450   24.3707   23.8274   1.8112   24.2729
  451   29.2121   28.7527   1.5313   24.2729
  452   27.1170   26.5765   1.8016   24.2729
